,0,1,2,V OC (V),J SC (mA/cm2),FF (%),PCE (%)
40_5_3,PSeTD2,,,0.85,13.55,71.06,8.18 (7.95 ± 0.19)
40_5_4,a Average PCEs and standard deviations in the brackets were obtained for 10 cells.,,,a Average PCEs and standard deviations in the brackets were obtained for 10 cells.,a Average PCEs and standard deviations in the brackets were obtained for 10 cells.,a Average PCEs and standard deviations in the brackets were obtained for 10 cells.,a Average PCEs and standard deviations in the brackets were obtained for 10 cells.
41_6_0,PDTPO-IDT,,,0.98,9.85,64.9,6.24 (5.97)
41_6_1,PDTPO-IDT,,,0.97,10.55,71.5,7.33 (7.17)
41_6_2,PDTPO-IDTT,,,0.95,8.48,59.8,4.83 (4.81)
41_6_3,PDTPO-IDTT,,,0.94,9.14,63.9,5.47 (5.40)
41_6_4,a The values in parentheses are average efficiencies obtained from 20 devices.,,,a The values in parentheses are average efficiencies obtained from 20 devices.,a The values in parentheses are average efficiencies obtained from 20 devices.,a The values in parentheses are average efficiencies obtained from 20 devices.,a The values in parentheses are average efficiencies obtained from 20 devices.
41_8_0,PDTPO-IDT,,,0.97,10.55,0.71,7.33
41_8_1,PDTPO-IDTT,,,0.94,9.14,0.64,5.43
41_8_2,PDTPO-BDTO,,,0.93,10.4,0.70,6.84
41_8_3,PTADTBTO,,,0.85,11.02,0.59,4.64
41_8_4,PBDTT,,,0.93,11.95,0.55,6.12
41_8_5,PBDT[2F]T,,,0.9,10.7,0.72,7.0
41_8_6,PIDTT-TzTz,,,0.9,10.41,0.59,5.9
41_8_7,BTT-BTz,,,0.81,10.9,0.57,5.06
41_8_8,HMW-P1,,,0.90,12.72,0.57,6.52
41_8_9,PBnDT-FTAZ,,,0.79,12.45,0.72,7.10
41_8_10,PPDT1,,,0.87,8.30,0.45,3.28
41_8_11,a Obtained from cyclic voltammetry.  b Achieved with an inverted architecture.  c Obtained from ultraviolet photoelectron spectroscopy.,,,a Obtained from cyclic voltammetry.  b Achieved with an inverted architecture.  c Obtained from ultraviolet photoelectron spectroscopy.,a Obtained from cyclic voltammetry.  b Achieved with an inverted architecture.  c Obtained from ultraviolet photoelectron spectroscopy.,a Obtained from cyclic voltammetry.  b Achieved with an inverted architecture.  c Obtained from ultraviolet photoelectron spectroscopy.,a Obtained from cyclic voltammetry.  b Achieved with an inverted architecture.  c Obtained from ultraviolet photoelectron spectroscopy.
42_2_0,P1,,,0.619,14.14,59.82,5.26 [5.09]a
42_2_1,P1,,,0.622,14.71,62.43,5.21 [5.46]a
42_2_2,P1,,,0.605,15.92,62.92,6.06 [5.91]a
42_2_3,P1,,,0.618,16.44,62.16,6.32 [6.16]b
42_2_4,P1,,,0.597,17.77,63.13,6.70 [6.48]b
42_2_5,P2,,,0.587,11.73,42.92,2.95 [2.84]b
42_2_6,P2,,,0.608,12.20,47.86,3.55 [3.40]a
42_2_7,P2,,,0.607,14.02,49.51,4.21 [4.01]a
42_2_8,P2,,,0.603,15.21,48.58,4.45 [4.37]b
42_2_9,P3,,,0.627,15.93,64.76,"6.47 [6.23]a,e"
42_2_10,P3,,,0.633,18.15,65.20,"7.50 [7.32]b,e"
42_2_11,a Structure of ITO/PEDOT:PSS/polymer:PC71BM (1:1 weight ratio)/Ca/Al.  b Inverted structure of ITO/ZnO/polymer:PC71BM (1:1 weight ratio)/MoO3/Ag.  c Devices were fabricated from blend without (N) or with (Y) 3% (v/v) DIO as a processing additive.  d Thermal annealing.  e Polymer:PC71BM (1:1.5 weight ratio).  f The values in square brackets indicate the average values of PCEs obtained from more than twenty devices.,,,a Structure of ITO/PEDOT:PSS/polymer:PC71BM (1:1 weight ratio)/Ca/Al.  b Inverted structure of ITO/ZnO/polymer:PC71BM (1:1 weight ratio)/MoO3/Ag.  c Devices were fabricated from blend without (N) or with (Y) 3% (v/v) DIO as a processing additive.  d Thermal annealing.  e Polymer:PC71BM (1:1.5 weight ratio).  f The values in square brackets indicate the average values of PCEs obtained from more than twenty devices.,a Structure of ITO/PEDOT:PSS/polymer:PC71BM (1:1 weight ratio)/Ca/Al.  b Inverted structure of ITO/ZnO/polymer:PC71BM (1:1 weight ratio)/MoO3/Ag.  c Devices were fabricated from blend without (N) or with (Y) 3% (v/v) DIO as a processing additive.  d Thermal annealing.  e Polymer:PC71BM (1:1.5 weight ratio).  f The values in square brackets indicate the average values of PCEs obtained from more than twenty devices.,a Structure of ITO/PEDOT:PSS/polymer:PC71BM (1:1 weight ratio)/Ca/Al.  b Inverted structure of ITO/ZnO/polymer:PC71BM (1:1 weight ratio)/MoO3/Ag.  c Devices were fabricated from blend without (N) or with (Y) 3% (v/v) DIO as a processing additive.  d Thermal annealing.  e Polymer:PC71BM (1:1.5 weight ratio).  f The values in square brackets indicate the average values of PCEs obtained from more than twenty devices.,a Structure of ITO/PEDOT:PSS/polymer:PC71BM (1:1 weight ratio)/Ca/Al.  b Inverted structure of ITO/ZnO/polymer:PC71BM (1:1 weight ratio)/MoO3/Ag.  c Devices were fabricated from blend without (N) or with (Y) 3% (v/v) DIO as a processing additive.  d Thermal annealing.  e Polymer:PC71BM (1:1.5 weight ratio).  f The values in square brackets indicate the average values of PCEs obtained from more than twenty devices.
43_1_0,PBDTTT‐E,,,0.66,11.53,54.7,4.16
43_1_1,PBDTTT‐E‐T,,,0.68,14.59,62.6,6.21
43_1_2,PBDTTT‐C,,,0.7,15.51,59.2,6.43
43_1_3,PBDTTT‐C‐T,,,0.74,17.48,58.7,7.59
44_1_0,P1,,,0.82,1.52,0.38,
44_1_1,P2,,,0.66,0.55,0.35,
44_1_2,P3,,,0.91,0.86,0.44,
45_1_0,PBT‐T,w/o,,0.63,9.9,58.2,3.63 (3.50)
45_1_1,,3%,,0.6,13.7,67.7,5.56 (5.45)
45_1_2,PBT‐OP,w/o,,0.79,8.6,59.8,4.06 (3.96)
45_1_3,,3%,,0.78,13.4,71.8,7.50 (7.41)
46_8_0,P1:PC71BM (1:2)a,,,0.82,1.05,32,0.27
46_8_1,P1:PC71BM (1:2)b,,,0.74,0.83,28,0.17
46_8_2,P2:PC71BM (1:2)b,,,0.44,7.6,49,1.63
46_8_3,"P2:PC71BM (1:2)b,c",,,0.44,8.8,39,1.50
46_8_4,P3:PC71BM (1:2)a,,,0.44,9.5,55,2.30
46_8_5,P3:PC71BM (1:2)b,,,0.48,9.0,50,2.16
46_8_6,a Without thermal annealing.  b Annealing at 70 °C for 10 min.  c Inverted device.  d Measured by using the space-charge-limited current method (see ESI).,,,a Without thermal annealing.  b Annealing at 70 °C for 10 min.  c Inverted device.  d Measured by using the space-charge-limited current method (see ESI).,a Without thermal annealing.  b Annealing at 70 °C for 10 min.  c Inverted device.  d Measured by using the space-charge-limited current method (see ESI).,a Without thermal annealing.  b Annealing at 70 °C for 10 min.  c Inverted device.  d Measured by using the space-charge-limited current method (see ESI).,a Without thermal annealing.  b Annealing at 70 °C for 10 min.  c Inverted device.  d Measured by using the space-charge-limited current method (see ESI).
47_0_0,"1:2a)a)0% DIO,",,,0.83,9.41,55.77,4.36 (4.28)
47_0_1,"1:2b)b)1.5% DIO,",,,0.8,11.94,65.1,6.21 (6.13)
48_10_0,P1,,,0.82,12.75,0.55,5.76
48_10_1,P2,,,0.78,8.38,0.48,3.16
48_10_2,P3,,,0.79,9.47,0.55,4.11
48_10_3,"a The mixed solvent of 97% CB/3% s1,8-diiodoctane (DIO).  b The device was fabricated with a layered structure of ITO/PEDOT:PSS/polymer:PC71BM/Ca/Al.",,,"a The mixed solvent of 97% CB/3% s1,8-diiodoctane (DIO).  b The device was fabricated with a layered structure of ITO/PEDOT:PSS/polymer:PC71BM/Ca/Al.","a The mixed solvent of 97% CB/3% s1,8-diiodoctane (DIO).  b The device was fabricated with a layered structure of ITO/PEDOT:PSS/polymer:PC71BM/Ca/Al.","a The mixed solvent of 97% CB/3% s1,8-diiodoctane (DIO).  b The device was fabricated with a layered structure of ITO/PEDOT:PSS/polymer:PC71BM/Ca/Al.","a The mixed solvent of 97% CB/3% s1,8-diiodoctane (DIO).  b The device was fabricated with a layered structure of ITO/PEDOT:PSS/polymer:PC71BM/Ca/Al."
49_1_0,P1,,,0.92,3.72,49,1.97
49_1_1,P1,,,0.92,3.47,49,1.82
49_1_2,P1,,,0.86,4.97,55,2.72
49_1_3,P2,,,0.89,4.13,51,2.2
49_1_4,P2,,,0.91,3.52,47,1.77
49_1_5,P2,,,0.78,2.54,47,1.09
49_1_6,P3,,,0.74,0.43,35,0.13
49_1_7,P4,,,0.68,0.11,28,0.03
50_1_0,PBnDT‐DTBT,,,0.87,10.03,57.3,5.0 (4.7)
50_1_1,PBnDT‐DTffBT,,,0.91,12.91,61.2,7.2 (6.9)
52_3_0,"P1aa Polymer:PC61BM = 1:3 (w/w) under the illumination of AM 1.5, 100 mA/cm2.",,,0.84,7.12,0.39,2.36/2.13/2.03
52_3_1,"P1bb Polymer:PC71BM = 1:3 (w/w) under the illumination of AM 1.5, 100 mA/cm2.",,,0.86,9.4,0.39,3.17/3.09/3.00
52_3_2,"P2aa Polymer:PC61BM = 1:3 (w/w) under the illumination of AM 1.5, 100 mA/cm2.",,,0.78,8.25,0.33,2.15/2.06/1.91
52_3_3,"P2bb Polymer:PC71BM = 1:3 (w/w) under the illumination of AM 1.5, 100 mA/cm2.",,,0.8,10.77,0.35,3.05/2.95/2.81
53_2_0,PC61BM,,,0.85,3.29,43.1,1.21
53_2_1,PC71BM,,,0.87,7.61,49.8,3.27
54_0_0,PBDT‐OBT,,,0.82,12.53,54.9,5.64 (5.50)
54_0_1,PBDT‐FBT,,,0.86,12.05,59.9,6.21 (6.08)
55_1_0,1,,,0.39,1.31,16,0.09
55_1_1,2,,,0.36,2.41,22,0.19
55_1_2,3,,,0.38,2.69,22,0.23
55_1_3,4,,,0.42,3.37,23,0.32
55_1_4,5,,,0.41,4.37,28,0.5
55_1_5,6,,,0.41,5.16,29,0.61
56_1_0,10k,,,0.78 ± 0.01,7.8 ± 1.3,54.4 ± 4.1,
56_1_1,20k,,,0.76 ± 0.01,11.4 ± 0.5,64.2 ± 2.1,
56_1_2,40k,,,0.78 ± 0.01,13.3 ± 0.9,70.5 ± 1.9,
56_1_3,60k,,,0.75 ± 0.02,12.7 ± 0.6,63.3 ± 2.4,
56_1_4,10k/60k(1:2),,,0.80 ± 0.01,12.0 ± 0.4,66.7 ± 1.7,
57_1_0,PNDT–DTPyT,,,0.71,14.16,61.7,6.20 (6.07)
57_1_1,PQDT–DTPyT,,,0.75,13.49,55.1,5.57 (5.32)
57_1_2,PBnDT–DTPyT,,,0.85,12.78,58.2,6.32 (6.11)
58_11_0,PBDFNTDO:PC60BM = 1:1,,,0.89,7.58,57.0,3.84
58_11_1,PBDFNTDO:PC60BM = 1:2,,,0.83,7.17,54.8,3.26
58_11_2,PBDFNTDO:PC60BM = 1:3,,,0.8,5.79,58.9,2.73
58_11_3,PBDFNTDO:PC71BM = 1:1,,,0.86,8.32,62.6,4.48
58_11_4,PBDFNTDO:PC71BM = 1:1.5,,,0.87,9.14,59.2,4.71
58_11_5,PBDFNTDO:PC71BM = 1:2,,,0.83,8.9,54.1,4.0
58_11_6,PBDTNTDO-C3:PC71BM = 1:1.5,,,0.84,5.34,50.6,2.27
59_2_0,"PBDTPF-DTBT/PC71BM (1:1, w/w)",,,0.85,10.84,47.16,4.35/4.21
59_2_1,"PBDTPF-DTBT/PC71BM (1:1, w/w)",,,0.82,13.11,65.28,7.02/6.90
59_2_2,"PBDTPF-DTBT/PC71BM (1:1, w/w)",,,0.82,11.46,59.43,5.58/5.39
59_2_3,a The average PCE was obtained from over 10 devices.,,,a The average PCE was obtained from over 10 devices.,a The average PCE was obtained from over 10 devices.,a The average PCE was obtained from over 10 devices.,a The average PCE was obtained from over 10 devices.
60_3_0,P1,,,"0.96, (0.92)","3.20, (3.14)","0.39, (0.36)","1.19, (1.06)"
60_3_1,P1,,,"0.94, (0.90)","2.97, (2.98)","0.33, (0.32)","0.92, (0.88)"
60_3_2,P1,,,"0.78, (0.70)","2.80, (2.82)","0.30, (0.30)","0.64, (0.59)"
60_3_3,P1,,,"0.29, (0.23)","2.60, (2.61)","0.29, (0.29)","0.22, (0.17)"
60_3_4,P2,,,"0.91, (0.85)","7.90, (8.33)","0.42, (0.40)","2.96, (2.84)"
60_3_5,P2,,,"0.84, (0.79)","7.78, (7.41)","0.36, (0.32)","2.34, (1.94)"
60_3_6,P2,,,"0.73, (0.75)","7.54, (7.01)","0.36, (0.32)","1.99, (1.73)"
60_3_7,P2,,,"0.67, (0.66)","7.66, (6.51)","0.38, (0.37)","1.94, (1.64)"
60_3_8,P3,,,"0.90, (0.91)","8.03, (7.81)","0.37, (0.37)","2.67, (2.61)"
60_3_9,P3,,,"0.89, (0.87)","6.16, (6.14)","0.47, (0.43)","2.60, (2.37)"
60_3_10,P3,,,"0.89, (0.89)","5.49, (5.48)","0.50, (0.48)","2.48, (2.36)"
60_3_11,P3,,,"0.89, (0.89)","5.62, (5.45)","0.47, (0.46)","2.38, (2.23)"
60_3_12,a Data in the parenthesis represents the average measured PCE values.,,,a Data in the parenthesis represents the average measured PCE values.,a Data in the parenthesis represents the average measured PCE values.,a Data in the parenthesis represents the average measured PCE values.,a Data in the parenthesis represents the average measured PCE values.
60_4_0,P1,,,"0.55, (0.44)","3.19, (3.22)","0.29, (0.29)","0.51, (0.41)"
60_4_1,P2,,,"1.03, (0.85)","7.05, (8.22)","0.48, (0.49)","3.52, (3.43)"
60_4_2,P3,,,"0.86, (0.86)","7.72, (7.57)","0.43, (0.43)","2.93, (2.82)"
60_4_3,a Data in the parenthesis represents the average measured PCE values.,,,a Data in the parenthesis represents the average measured PCE values.,a Data in the parenthesis represents the average measured PCE values.,a Data in the parenthesis represents the average measured PCE values.,a Data in the parenthesis represents the average measured PCE values.
61_2_0,PBDT2FBT,CB,,0.92,3.16,57.2,1.74 (1.40)
61_2_1,,DCB,,0.94,7.21,51.9,3.47 (3.29)
61_2_2,PBDT2FBT‐O,CB,,0.92,4.4,53.4,2.21 (2.17)
61_2_3,,DCB,,0.9,7.87,64.7,4.53 (4.26)
61_2_4,PBDT2FBT‐T,CB,,0.98,10.6,57.8,6.37 (6.16)
61_2_5,,DCB,,0.98,9.62,59.7,5.46 (5.20)
61_2_6,PBDT2FBT‐T‐O,CB,,0.84,7.87,52.8,3.65 (3.31)
61_2_7,,DCB,,0.82,8.93,43.5,3.12 (2.92)
61_3_0,PBDT2FBT‐T,DCB,,0.98,9.03,53.0,4.69
61_3_1,,DCB,,0.98,9.59,57.1,5.36
61_3_2,,DCB,,0.98,9.16,50.1,4.5
61_3_3,,CB,,0.98,10.2,56.2,5.65
61_3_4,,CB,,0.98,10.6,57.0,6.16
61_3_5,,CB,,0.96,9.71,58.6,5.51
62_7_0,D1,,,0.92,9.36,39.8,3.43
62_7_1,D2,,,0.85,10.37,42.0,3.7
62_7_2,D3,,,0.92,9.61,40.2,3.55
62_7_3,D4,,,0.9,9.3,46.9,3.93
62_7_4,D5,,,0.8,6.45,44.1,2.27
62_7_5,D6,,,0.76,4.97,39.6,1.5
62_7_6,D7,,,0.88,5.05,33.6,1.49
62_7_7,D8,,,0.77,5.3,31.2,1.27
62_7_8,D9,,,0.79,5.56,34.7,1.53
62_7_9,D10,,,0.82,4.9,36.4,1.46
62_8_0,D11,,,0.94,9.89,41.1,3.81
62_8_1,D12,,,0.89,8.84,37.8,2.97
62_8_2,D13,,,0.72,4.45,32.5,1.04
62_8_3,D14,,,0.86,9.51,40.8,3.33
62_8_4,D15,,,0.91,10.47,42.6,4.06
62_8_5,D16,,,0.85,6.0,33.1,1.69
62_9_0,D17,,,0.88,8.8,50.3,3.9
62_9_1,D18,,,0.89,10.8,48.5,4.66
62_9_2,D19,,,0.88,11.68,43.4,4.46
62_9_3,D20,,,0.88,10.73,53.6,5.06
62_9_4,D21,,,0.89,9.46,49.9,4.2
62_9_5,D22,,,0.81,4.41,51.4,1.84
62_9_6,D23,,,0.81,5.25,49.0,2.08
62_9_7,D24,,,0.81,4.55,49.9,1.83
62_9_8,D25,,,0.81,5.36,50.6,2.2
63_5_0,PinBDFID,,,0.7366,1.66,48.6,0.590
63_5_1,PoutBDFID,,,0.6410,1.306,36,0.301
63_5_2,"Polymer films were prepared from solutions in o-DCB, 10 mg mL−1.",,,"Polymer films were prepared from solutions in o-DCB, 10 mg mL−1.","Polymer films were prepared from solutions in o-DCB, 10 mg mL−1.","Polymer films were prepared from solutions in o-DCB, 10 mg mL−1.","Polymer films were prepared from solutions in o-DCB, 10 mg mL−1."
64_1_0,,,(wt:wt),(V),(mA cm−2),,(%)
64_1_1,P1,oDCB,1:2,0.94,‐10.8,0.51,5.2
64_1_2,,oDCB,1:2,0.92,‐10.2,0.41,3.8
64_1_3,P2,oDCB,1:1,0.96,‐6.2,0.43,2.6
64_1_4,P3,oDCB,1:2,0.93,‐10.0,0.51,4.8
64_1_5,P4a),‐,‐,‐,‐,‐,‐
64_1_6,P5,oDCB,1:2,0.76,‐2.9,0.43,0.95
64_1_7,P6a),‐,‐,‐,‐,‐,‐
64_1_8,P7,CHCl3,1:2,0.89,‐7.6,0.57,3.9
64_1_9,P8,oDCB,1:2,0.76,‐9.0,0.51,3.5
64_1_10,P9,CHCl3,1:2,0.66,‐1.2,0.26,0.2
64_1_11,P10,CHCl3,1:2,0.87,‐7.2,0.58,3.6
64_1_12,,CHC3,1:2,0.88,‐6.5,0.53,3.1
64_1_13,P11,CHCl3,1:2,0.92,‐2.3,0.34,0.7
65_5_0,PBDTTID,,,0.83,3.43,0.52,1.47
65_5_1,PBDTTID,,,0.81,2.30,0.63,1.17
65_5_2,PBDTTID,,,0.81,1.99,0.59,0.96
65_5_3,PBDTTID,,,0.80,6.50,0.60,3.12
65_5_4,PBDTTPD,,,0.87,2.35,0.45,0.92
65_5_5,a 3% DIO additive (v/v).,,,a 3% DIO additive (v/v).,a 3% DIO additive (v/v).,a 3% DIO additive (v/v).,a 3% DIO additive (v/v).
66_0_0,PID1,,,0.85,7.06,54.7,3.28
66_0_1,PID2,,,0.88,5.94,58.6,3.05
66_0_2,PPB1,,,0.86,10.4,66.6,5.97
66_0_3,PPB2,,,0.88,8.23,62.2,4.48
66_1_0,PTB2,,,,,,5.1
66_1_1,PTB7,,,,,,7.4
66_1_2,PTBF2,,,,,,3.2
66_1_3,PBB3,,,,,,2.04
66_1_4,PBIT1,,,,,,1.96
66_1_5,PBIT3,,,,,,0.47
66_1_6,PBTZ1,,,,,,3.46
66_1_7,PBTZ2,,,,,,0.29
66_1_8,PPB1,,,,,,5.97
66_1_9,PID1,,,,,,3.28
67_8_0,1:1.0,,,0.96 ± 0.00,9.19,37.5 ± 2.1,2.91 ± 0.26
67_8_1,1:0.8,,,0.97 ± 0.01,9.47,41.7 ± 1.0,3.35 ± 0.16
67_8_2,1:0.7,,,0.97 ± 0.01,8.70,40.3 ± 1.2,3.06 ± 0.15
67_8_3,1:0.6,,,0.98 ± 0.01,7.89,38.7 ± 1.8,2.70 ± 0.13
67_8_4,1:0.5,,,1.02 ± 0.00,7.26,34.5 ± 0.9,2.27 ± 0.12
67_8_5,1:0.3,,,1.03 ± 0.01,4.27,28.7 ± 0.6,1.11 ± 0.05
67_8_6,a Average number based on 6 devices.,,,a Average number based on 6 devices.,a Average number based on 6 devices.,a Average number based on 6 devices.,a Average number based on 6 devices.
68_0_0,PBDF‐T1:PC71BM,0.0,,0.95,6.7,41.4,2.64 (2.45)
68_0_1,,0.7,,0.92,12.22,77.9,8.73 (8.66)
68_0_2,,1.0,,0.92,13.28,77.4,9.43 (9.09)
68_0_3,,1.5,,0.91,13.49,75.5,9.23 (8.87)
68_0_4,,2.0,,0.9,12.51,74.0,8.36 (8.21)
68_0_5,PBDT‐T1:PC71BM,0.0,,0.88,6.94,61.6,3.75 (3.62)
68_0_6,,0.7,,0.87,13.01,71.7,8.08 (7.81)
68_0_7,,1.0,,0.86,13.13,71.8,8.12 (8.00)
68_0_8,,1.5,,0.86,13.03,69.9,7.82 (7.58)
68_0_9,,2.0,,0.84,12.58,68.8,7.28 (7.03)
71_12_0,P:PC60BMa,,,0.78,6.21,0.43,2.10
71_12_1,P:PC70BMa,,,0.76,8.93,0.48,3.26
71_12_2,P:PC70BMb,,,0.74,10.98,0.55,4.47
71_12_3,P:PC70BMc,,,0.72,11.47,0.62,5.12
71_12_4,a Cast from THF solvent.  b Cast from DIO/THF solvent.  c Cast from DIO/THF and DMSO doped PEDOT:PSS used as buffer layer.,,,a Cast from THF solvent.  b Cast from DIO/THF solvent.  c Cast from DIO/THF and DMSO doped PEDOT:PSS used as buffer layer.,a Cast from THF solvent.  b Cast from DIO/THF solvent.  c Cast from DIO/THF and DMSO doped PEDOT:PSS used as buffer layer.,a Cast from THF solvent.  b Cast from DIO/THF solvent.  c Cast from DIO/THF and DMSO doped PEDOT:PSS used as buffer layer.,a Cast from THF solvent.  b Cast from DIO/THF solvent.  c Cast from DIO/THF and DMSO doped PEDOT:PSS used as buffer layer.
72_1_0,1:1,,,0.75,5.98,0.33,1.48
72_1_1,1:2,,,0.76,7.07,0.32,1.72
72_1_2,1:3,,,0.77,6.42,0.34,1.68
72_1_3,1:2.5,,,0.77,7.24,0.33,1.84
72_1_4,1:2.5a)a)5% weight loss temperature measured by TGA under N2;,,,0.78,7.58,0.35,2.06
72_2_0,PC60BM,1%,,0.75,6.3,0.33,1.56
72_2_1,,3%,,0.79,6.61,0.35,1.83
72_2_2,,5%,,0.84,8.35,0.39,2.73
72_2_3,,No,,0.74,5.65,0.37,1.54
72_2_4,,No,,0.74,6.35,0.34,1.60
72_2_5,,No,,0.78,6.11,0.33,1.57
72_2_6,PC70BM,5%,,0.82,10.1,0.38,3.15
72_2_7,,5%,,0.83,11.71,0.4,3.90a)a)5% weight loss temperature measured by TGA under N2;
73_9_0,PBDTDT(Qx-3)-T,,,0.95,10.50,58.5,5.8
73_9_1,PBDTDT(Qx-3)-T,,,0.96,11.10,58.6,6.2
73_9_2,"PBDTDT(Qx-3)-T  ,",,,0.94,11.28,64.7,6.9
73_9_3,PBDTDT(Qx-2)-T,,,0.95,10.82,61.4,6.3
73_9_4,PBDTT-TQ,,,0.77,13.70,56.0,5.9
73_9_5,PBDTDTQx-T,,,0.76,10.13,64.3,5.0
73_9_6,a Annealing at 80 °C.  b 1% DIO additive.  c Annealing at 90 °C.  d Annealing at 120 °C.,,,a Annealing at 80 °C.  b 1% DIO additive.  c Annealing at 90 °C.  d Annealing at 120 °C.,a Annealing at 80 °C.  b 1% DIO additive.  c Annealing at 90 °C.  d Annealing at 120 °C.,a Annealing at 80 °C.  b 1% DIO additive.  c Annealing at 90 °C.  d Annealing at 120 °C.,a Annealing at 80 °C.  b 1% DIO additive.  c Annealing at 90 °C.  d Annealing at 120 °C.
74_8_0,P0F:PCBM,,,0.832 (0.003),6.37 (0.05),54% (1%),2.9 (0.1)
74_8_1,P1F:PCBM,,,0.872 (0.003),6.52 (0.07),55% (1%),3.1 (0.1)
74_8_2,P2F:PCBM,,,0.914 (0.002),6.84 (0.03),59% (1%),3.7 (0.1)
74_8_3,a The device parameters reported are averages obtained from 15 devices. The number in parenthesis corresponds to the standard deviation of the measurements.,,,a The device parameters reported are averages obtained from 15 devices. The number in parenthesis corresponds to the standard deviation of the measurements.,a The device parameters reported are averages obtained from 15 devices. The number in parenthesis corresponds to the standard deviation of the measurements.,a The device parameters reported are averages obtained from 15 devices. The number in parenthesis corresponds to the standard deviation of the measurements.,a The device parameters reported are averages obtained from 15 devices. The number in parenthesis corresponds to the standard deviation of the measurements.
75_12_0,PBDT-DFQX-PP,,,0.80,8.11,45.60,2.96
75_12_1,PBDT-DFQX-PP,,,0.89,8.66,51.38,3.96
75_12_2,PBDT-DFQX-TP,,,0.82,12.34,60.12,6.08
75_12_3,PBDT-DFQX-PT,,,0.85,12.13,63.46,6.54
75_12_4,PBDT-DFQX-TT,,,0.85,12.53,68.51,7.29
75_12_5,PBDT-DFQX-TT,,,0.86,12.77,69.93,7.68
75_12_6,a Polymer/PC71BM weight ratio.  b Treatment with methanol.  c Optimized data.  d Measured by using the SCLC method.,,,a Polymer/PC71BM weight ratio.  b Treatment with methanol.  c Optimized data.  d Measured by using the SCLC method.,a Polymer/PC71BM weight ratio.  b Treatment with methanol.  c Optimized data.  d Measured by using the SCLC method.,a Polymer/PC71BM weight ratio.  b Treatment with methanol.  c Optimized data.  d Measured by using the SCLC method.,a Polymer/PC71BM weight ratio.  b Treatment with methanol.  c Optimized data.  d Measured by using the SCLC method.
76_5_0,PFQBDT-TR1:PC61BM (2:1),,,0.78,7.7,39,2.3
76_5_1,PFQBDT-TR1:PC61BM (2:1),,,0.76,6.1,37,1.7
76_5_2,PFQBDT-TR1:PC61BM (1:1),,,0.84,11.1,61,5.7
76_5_3,PFQBDT-TR1:PC61BM (1:1),,,0.81,10.7,63,5.6
76_5_4,PFQBDT-TR1:PC61BM (1:1),,,0.74,8.8,48,3.2
76_5_5,PFQBDT-TR1:PC61BM (1:2),,,0.79,8.9,67,4.7
76_5_6,PFQBDT-TR1:PC61BM (1:2),,,0.79,8.1,64,4.1
76_5_7,PFQBDT-T2R2:PC61BM (2:1),,,0.98,3.6,28,1.0
76_5_8,PFQBDT-T2R2:PC61BM (2:1),,,0.97,3.1,30,0.9
76_5_9,PFQBDT-T2R2:PC61BM (1:1),,,0.99,6.8,43,2.9
76_5_10,PFQBDT-T2R2:PC61BM (1:1),,,0.96,6.9,47,3.1
76_5_11,PFQBDT-T2R2:PC61BM (1:2),,,0.99,6.3,49,3.1
76_5_12,PFQBDT-T2R2:PC61BM (1:2),,,0.96,6.5,54,3.4
76_5_13,PFQBDT-T2R2:PC61BM (1:2),,,0.94,6.2,53,3.1
76_5_14,a Active layers from ODCB solutions.  b Annealing time: 10 min.,,,a Active layers from ODCB solutions.  b Annealing time: 10 min.,a Active layers from ODCB solutions.  b Annealing time: 10 min.,a Active layers from ODCB solutions.  b Annealing time: 10 min.,a Active layers from ODCB solutions.  b Annealing time: 10 min.
77_7_0,PBDTTFTQ-EH,,,0.78,13.2,70.8,7.29 (7.15)
77_7_1,PBDTTFTQ-DO,,,0.88,11.4,75.9,7.61 (7.42)
77_7_2,PBDTTFTTQ-EH,,,0.72,13.4,70.8,6.82 (6.65)
77_7_3,PBDTTFTTQ-DO,,,0.85,11.3,75.7,7.25 (7.09)
77_7_4,a Calculated from 5 individual PSCs.,,,a Calculated from 5 individual PSCs.,a Calculated from 5 individual PSCs.,a Calculated from 5 individual PSCs.,a Calculated from 5 individual PSCs.
78_8_0,PBDT-PQD1,,,0.98,10.4,0.48,4.9
78_8_1,PBDT-PQD2,,,1.08,7.6,0.43,3.5
78_8_2,PBDT-PQD3,,,1.03,7.3,0.39,2.9
78_8_3,PT-PQD,,,1.00,7.7,0.38,2.9
78_8_4,a Polymer:PC71BM weight ratio.  b Active layer thickness (d).,,,a Polymer:PC71BM weight ratio.  b Active layer thickness (d).,a Polymer:PC71BM weight ratio.  b Active layer thickness (d).,a Polymer:PC71BM weight ratio.  b Active layer thickness (d).,a Polymer:PC71BM weight ratio.  b Active layer thickness (d).
79_4_0,P1,PCBM,1:2,0.64,11.27,60.2,
79_4_1,P1,PCBM,1:2,0.66,15.9,48.9,
79_4_2,P1,PCBM,1:1,0.66,8.5,31.2,
79_4_3,,,,,,,
79_4_4,P2,PCBM,1:2,0.71,10.5,57.7,
79_4_5,P2,PCBM,1:2,0.7,12.1,52.4,
79_4_6,P2,PCBM,1:1,0.72,10.6,46.3,
79_4_7,,,,,,,
79_4_8,P4,PCBM,1:2,0.7,5.91,53.9,
79_4_9,P4,PCBM,1:2,0.68,8.75,45.3,
